LANDIS_test,LANDIS_traits,LandR,KNN,CASFRI,Latin_full,EN_generic_short,EN_generic_full,Leading,Notes,Boreal,Broadleaf,Type,PSP,ApproxFBP,FuelClass,BC_forestry,AB_forestry,SK_forestry,MB_forestry,ON_forestry,QCPSP,NB_forestry,NFI,CanfiCode,CanfiNote,NTEMS_Species_Code,CBM_speciesID,SCANFI,colorHex
,,Pinu_rad,,Pinu radi,Pinus radiata,Mon pine,Monterey pine,Monterey pine leading,,,FALSE,Conifer,,,CedrMplOther,,,,,,,,PINU_RAD,200,generic pine code,,,,
pinuresi,PINU.RES,Pinu_res,Pinu_Res,Pinu resi,Pinus resinosa,Rd pine,Red pine,Red pine leading,,Pinu_Res,FALSE,Conifer,red pine,C5,RdWhPine,,,RP,RP,Pr,PIR,rP,PINU_RES,209,,25,20,PINU_RES,#B1CC71
,,Pinu_rig,Pinu_Rig,Pinu rigi,Pinus rigida,Pitch pine,Pitch pine,Pitch pine leading,,,FALSE,Conifer,,,CedrMplOther,,,,,Pp,PID,,PINU_RIG,210,,,21,,
,,Pinu_spp,Pinu_Spp,Pinu spp,Pinus spp.,Pine,Pine,Pine leading,,Pinu_Spp,FALSE,Conifer,,,CedrMplOther,,,,,,,,PINU_SP,200,,,11,,
pinustro,PINU.STR,Pinu_str,Pinu_Str,Pinu stro,Pinus strobus,E wh pine,Eastern white pine,Eastern white pine leading,,,FALSE,Conifer,eastern white pine,C5,RdWhPine,,,,,Pw,PIB,wP,PINU_STR,202,,26,13,PINU_STR,#00FF00
,,Pinu_syl,Pinu_Syl,Pinu sylv,Pinus sylvestris,Scot pine,Scotch pine,Scotch pine leading,,,FALSE,Conifer,,,CedrMplOther,,,SP,SP,Ps,PIS,,PINU_SYL,211,,,22,,
,,Plan_occ,Plat_Occ,Plan occi,Platanus occidentalis,Sycamore,American sycamore,American sycamore leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Sy,PLO,,PLAN_OCC,2700,,,129,,
,,Popu_ang,,Popu angu,Populus angustifolia,Nar cottonwood,Narrowleaf cottonwood,Narrowleaf cottonwood leading,,,TRUE,Deciduous,,,PopBrch,,,,,,,,POPU_ANG,1214,,,,,
popubals,POPU.BAL,Popu_bal,Popu_Bal,Popu balb,Populus balsamifera,Ba poplar,Balsam poplar,Balsam poplar leading,,Popu_Bal,TRUE,Deciduous,balsam poplar,,PopBrch,Ac,Pb,BP,BA,Pb,PEB,bA,POPU_BAL,1203,,27,65,POPU_BAL,#FFACFD
popubals,POPU.BAL,Popu_bal,Popu_Bal,Popu balb,Populus balsamifera v. balsamifera,Ba poplar,Balsam poplar,Balsam poplar leading,,Popu_Bal,TRUE,Deciduous,balsam poplar,,PopBrch,,,,,,,,,1203,,27,65,,#FFACFD
,,Popu_can,,Popu cana,Populus X canadensis,Can poplar,Canadian poplar,Canadian poplar leading,Polpulus nigra x deltoides,,TRUE,Deciduous,,,PopBrch,,,,,Pc,,,POPU_CAN,1200,generic aspen code,,69,,
popudelt,,Popu_del,Popu_Del,Popu delt,Populus deltoides,E ctnwood,Eastern cottonwood,Eastern cottonwood leading,,,TRUE,Deciduous,eastern cotttonwood,,PopBrch,,,,CO,Pd,PED,,POPU_DEL,1205,,,67,,
,,Popu_del,Popu_Del,Popu delx,Populus deltoides,E ctnwood,Eastern cottonwood,Eastern cottonwood leading,,,TRUE,Deciduous,eastern cotttonwood,,PopBrch,,,,,,PED,,,1205,,,67,,
,,Popu_del,Popu_Del,Popu delo,Populus deltoides v. occidentalis,Pla ctnwood,Plains cottonwood,Plains cottonwood leading,,,TRUE,Deciduous,eastern cotttonwood,,PopBrch,,,,,,,,,1205,,,67,,
,,Popu_gra,Popu_Gra,Popu gran,Populus grandidentata,Bigto asp,Bigtooth aspen,Bigtooth aspen leading,,Popu_Gra,TRUE,Deciduous,largetooth aspen,,PopBrch,,,,,Pl,PEG,ltA,POPU_GRA,1206,,28,68,POPU_GRA,
,,Popu_nig,,Popu nigr,Populus nigra,Bl pop,Black poplar,Black poplar leading,,,TRUE,Deciduous,,,PopBrch,,,,,,,,POPU_NIG,1200,generic aspen code,,,,
,,Popu_spp,Popu_Spp,Popu spp,Populus spp.,Poplar,Poplar,Poplar leading,,Popu_Spp,TRUE,Deciduous,trembling aspen,,PopBrch,,,,,Po,,,POPU_SP,1200,,,62,,
poputrem,POPU.TRE,Popu_tre,Popu_Tre,Popu trem,Populus tremuloides,Tr aspen,Trembling aspen,Trembling aspen leading,,Popu_Tre,TRUE,Deciduous,trembling aspen,,PopBrch,At,Aw,TA,TA,Pt,PET,tA,POPU_TRE,1201,,29,63,POPU_TRE,#FF00B6
,,Popu_bal,Popu_Tri,Popu balt,Populus trichocarpa,Bl ctnwood,Black cottonwood,Black cottonwood leading,Populus balsamifera trichocarpa is a synonym of Populus trichocarpa,Popu_Tri,TRUE,Deciduous,black cottonwood,,PopBrch,Act,,,,,,,POPU_TRI,1204,,,66,,#FFACFD
,,Prun_avi,,Prun aviu,Prunus avium,Wild cherry,Wild cherry,Wild cherry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Cm,,,PRUN_AVI,2801,black cherry code,,,,
,,Prun_cer,,Prun cera,Prunus cerasus,Sour cherry,Sour cherry,Sour cherry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Cs,,,PRUN_CER,2801,black cherry code,,,,
,,Prun_ema,,Prun emar,Prunus emarginata,Bitter cherry,Bitter cherry,Bitter cherry leading,,,TRUE,Deciduous,,,CedrMplOther,Vb,,,,,,,PRUN_EMA,2803,,,133,,
,,Prun_pen,Prun_Pen,Prun pens,Prunus pensylvanica,Pin cherry,Pin cherry,Pin cherry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Cp,PRP,PRUPE,PRUN_PEN,2802,,,132,,
,,Prun_ser,Prun_Ser,Prun sero,Prunus serotina,black cherry,black cherry,black cherry leading,,,TRUE,Deciduous,black cherry,,CedrMplOther,,,,,Cb,CET,PRUSE,PRUN_SER,2801,,,131,,
,,Prun_spp,,Prun spp,Prunus spp.,Cherry,Cherry,Cherry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Ch,,,PRUN_SP,2801,black cherry code,,130,,
,,Prun_vir,Prun_Vir,Prun virg,Prunus virginiana,Chk cherry,Chokecherry,Chokecherry leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,C,PRV,PRUVI,PRUN_VIR,2804,,,134,,
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men,Pseu menz,Pseudotsuga menziesii,Doug-fir,Douglas-fir,Douglas-fir leading,,,FALSE,Conifer,douglas-fir,,DgFrPoPine,Fd,Fd,,,,,,PSEU_MEN,500,,30,41,PSEU_MEN,#720055
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men_Gla,Pseu meng,Pseudotsuga menziesii var. glauca,Int doug-fir,Interior douglas-fir,Interior douglas-fir leading,,,FALSE,Conifer,douglas-fir,C7,DgFrPoPine,Fdi,,,,,,,PSEU_MEN_GLA,500,,30,41,PSEU_MEN_GLA,#720055
pseumenz,PSEU.MEN,Pseu_men,Pseu_Men_Men,Pseu menm,Pseudotsuga menziesii var. menziesii,Co doug-fir,Coastal douglas-fir,Coastal douglas-fir leading,,,FALSE,Conifer,douglas-fir,,CedrMplOther,Fdc,,,,,,,PSEU_MEN_MEN,500,,30,41,PSEU_MEN_MEN,#720055
,,Pyru_com,,Pyru comm,Pyrus communis,Pear,Common pear,Common pear leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,PYRU_COM,1500,other hardwood code,,,,
,,Quer_alb,Quer_Alb,Quer alba,Quercus alba,Wh oak,White oak,White oak leading,,,TRUE,Deciduous,white oak,,CedrMplOther,,,,,Ow,CHB,,QUER_ALB,2101,,,110,,
,,Quer_bic,Quer_Bic,Quer bico,Quercus bicolor,Sw Wh oak,Swamp white oak,Swamp white oak leading,swamp white oak hybridizes with bur oak,,TRUE,Deciduous,bur oak,,CedrMplOther,,,,,Osw,CHE,,QUER_BIC,2102,,,111,,
querelli,,Quer_ell,,,Quercus elliptica,Q. elli,Quercus elliptica,Quercus elliptica leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,QUER_ELL,2100,generic oak code,,,,
,,Quer_gar,Quer_Gar,Quer garr,Quercus garryana,Garry oak,Garry oak,Garry oak leading,Also known as Oregon white oak,,TRUE,Deciduous,,,CedrMplOther,Qg,,,,,,,QUER_GAR,2103,,,112,,
,,Quer_mac,Quer_Mac,Quer macr,Quercus macrocarpa,Bur oak,Bur oak,Bur oak leading,,,TRUE,Deciduous,bur oak,,CedrMplOther,,,BO,BO,Ob,CHG,,QUER_MAC,2104,,,113,,
,,Quer_mue,,Quer mueh,Quercus muehlenbergii,Chin oak,Chinquapin oak,Chinquapin oak leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Och,,,QUER_MUE,2100,generic oak code,,115,,
,,Quer_pal,,Quer palu,Quercus palustris,Pin oak,Pin oak,Pin oak leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Op,,,QUER_PAL,2100,generic oak code,,114,,
,,Quer_rob,,Quer robu,Quercus robur,Eng oak,English oak,English oak leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,CHD,,QUER_ROB,2100,generic oak code,,,,
querrubr,QUER.RUB,Quer_rub,Quer_Rub,Quer rubr,Quercus rubra,N rd oak,Northern red oak,Northern red oak leading,,,TRUE,Deciduous,red oak,,CedrMplOther,,,,,Or,CHR,rO,QUER_RUB,2108,,31,117,QUER_RUB,#9A4D42
,,Quer_shu,,Quer shum,Quercus shumardii,Shum oak,Shumard oak,Shumard oak leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Os,,,QUER_SHU,2100,generic oak code,,120,,
,,Quer_spp,Quer_Spp,Quer spp,Quercus spp.,Oak,Oak,Oak leading,,,TRUE,Deciduous,,,CedrMplOther,Q,,,,OX,,,QUER_SP,2100,,,109,,
,,Quer_vel,,Quer velu,Quercus velutina,Bl Oak,Black oak,Black oak leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Obl,,,QUER_VEL,2100,generic oak code,,118,,
,,Rham_pur,,Rham purs,Rhamnus purshianus,Cascara,Cascara,Cascara leading,Also known as Frangula purshiana,,TRUE,Deciduous,,,CedrMplOther,Kc,,,,,,,RHAM_PUR,1500,other hardwood code,,,,
,,Robi_pse,Robi_Pse,Robi pseu,Robinia pseudoacacia,Bl locust,Black locust,Black locust leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Lb,ROP,,ROBI_PSE,2901,,,,,
,,Robi_spp,,Robi spp,Robinia spp.,Locust,Locust,Locust leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,ROBI_SP,2901,black locust code,,,,
,,Sali_amy,,Sali amyg,Salix amygdaloides,Al leaf willow,Almond leaf willow,Almond leaf willow leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,SALI_AMY,3500,generic willow code,,,,
,,Sali_beb,Sali_Beb,Sali bebb,Salix bebbiana,Bebb's willow,Bebb's willow,Bebb's willow leading,,,TRUE,Deciduous,,,CedrMplOther,Wb,,,,,,,SALI_BEB,3506,,,,,
,,Sali_dis,,Sali disc,Salix discolor,Am p willow,American pussy willow,American pussy willow leading,,,TRUE,Deciduous,,,CedrMplOther,Wd,,,,,,,SALI_DIS,3508,,,,,
,,Sali_luc,,Sali luci,Salix lucida,Shin willow,Shining pillow,Shining pillow leading,,,TRUE,Deciduous,,,CedrMplOther,Wp,,,,,,,SALI_LUC,3500,generic willow code,,,,
,,Sali_nig,Sali_Nig,Sali nigr,Salix nigra,Bl willow,Black willow,Black willow leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,SALI_NIG,3501,,,154,,
,,Sali_sco,,Sali scou,Salix scouleriana,Scou willow,Scouler's willow,Scouler's willow leading,,,TRUE,Deciduous,scoulers willow,,CedrMplOther,Ws,,,,,,,SALI_SCO,3500,generic willow code,,,,
,,Sali_sit,,Sali sitc,Salix sitchensis,sk willow,Sitka willow,Sitka willow leading,,,TRUE,Deciduous,,,CedrMplOther,Wt,,,,,,,SALI_SIT,3500,generic willow code,,,,
,,Sali_spp,Sali_Spp,Sali spp,Salix spp.,Willow,Willow,Willow leading,,,TRUE,Deciduous,willow,,CedrMplOther,W,,,,Wi,SAL,SALIX,SALI_SP,3500,,,153,,
,,Sass_alb,Sass_Alb,Sass albi,Sassafras albidum,Sassafras,Sassafras,Sassafras leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Ss,,,SASS_ALB,2600,,,128,,
,,Sequ_gig,,Sequ giga,Sequoadendron giganteum,G sequoia,Giant sequoia,Giant sequoia leading,,,FALSE,Conifer,,,CedrMplOther,,,,,,,,SEQU_GIG,1500,other hardwood code,,,,
,,Sequ_sem,,Sequ semp,Sequoia sempervirens,Co redwood,Coast redwood,Coast redwood leading,,,FALSE,Conifer,,,CedrMplOther,,,,,,,,SEQU_SEM,1500,other hardwood code,,,,
,,Sorb_auc,Sorb_Ame,Sorb aucu,Sorbus americana,Am mtn-ash,American mountainash,American mountainash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Ema,SOA,mtA,SORB_AUC,3961,,,,,
,,Sorb_auc,Sorb_Ame,Sorb aucu,Sorbus aucuparia,Rowan,Rowan,Rowan leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,,3961,,,,,
,,Sorb_dec,Sorb_Dec,,Sorbus decora,N mtn-ash,Northern mountain ash,Northern mountain ash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,SOD,,SORB_DEC,3962,,,148,,
,,Sorb_spp,Sorb_Spp,,Sorbus spp.,Mtn-ash,Mountain ash,Mountain ash leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Am,,,SORB_SP,3960,,,168,,
,,Taxu_bre,,Taxu brev,Taxus brevifolia,Pa yew,Pacific yew,Pacific yew leading,,,FALSE,Conifer,,,CedrMplOther,Tw,,,,,,,TAXU_BRE,901,,,56,,
,,Taxu_bre,,Taxu brev,Taxus brevifolia,W yew,Western yew,Western yew leading,,,FALSE,Conifer,,,CedrMplOther,Tw,,,,,,,TAXU_BRE,901,,,56,,
,,Thuj_jun,Juni_Vir,Thuj juni,Juniperus virginiana,E redcedar,Eastern redcedar,Eastern redcedar leading,Not clear why CASFRI name doesn't match,,FALSE,Conifer,,,CedrMplOther,,,,,,,,THUJ_JUN,801,eastern redcedar code,,53,,
thujocci,,Thuj_occ,Thuj_Occ,Thuj occi,Thuja occidentalis,E whcedar,Eastern white-cedar,Eastern white-cedar leading,,,FALSE,Conifer,eastern white-cedar,,CedrMplOther,,,,EC,Cw,THO,Ce,THUJ_OCC,701,,32,49,THUJ_OCC,#F2F318
thujplic,THUJ.PLI,Thuj_pli,Thuj_Pli,Thuj plic,Thuja plicata,W redced,Western redcedar,Western redcedar leading,,,FALSE,Conifer,western redcedar,,CedrMplOther,Cw,,,,,,,THUJ_PLI,702,,33,50,THUJ_PLI,#F2F318
,THUJ.SPP.ALL,Thuj_spp,Thuj_Spp,,Thuja spp.,Cedar,Cedar,Cedar leading,,,FALSE,Conifer,,,CedrMplOther,C,,,,,,,THUJ_SP,700,,,48,,
tiliamer,,Tili_ame,Tili_Ame,Tili amer,Tilia americana,Am linden,American basswood,American basswood leading,,,TRUE,Deciduous,basswood,,CedrMplOther,,,,BD,Bd,TIL,,TILI_AME,3000,,,136,,
,,Tili_cor,,Tili cord,Tilia cordata,Lit lin,Littleleaf linden,Littleleaf linden leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Ll,,,TILI_COR,3000,basswood code,,,,
,,Tili_pla,,Tili plat,Tilia platyphyllos,Large lin,Largeleaf linden,Largeleaf linden leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Bl,,,TILI_PLA,3000,basswood code,,,,
tsugcana,TSUG.CAN,Tsug_can,Tsug_Can,Tsug cana,Tsuga canadensis,E hemlock,Eastern hemlock,Eastern hemlock leading,,Tsug_Can,FALSE,Conifer,eastern hemlock,,CedrMplOther,,,,,He,PRU,He,TSUG_CAN,401,,34,37,TSUG_CAN,#858567
tsughete,TSUG.HET,Tsug_het,Tsug_Het,Tsug hete,Tsuga heterophylla,W hemlock,Western hemlock,Western hemlock leading,,,FALSE,Conifer,western hemlock,,CedrMplOther,Hw,,,,,,,TSUG_HET,402,,35,38,TSUG_HET,#858567
tsugmert,TSUG.MER,Tsug_mer,Tsug_Mer,Tsug merx,Tsuga mertensiana,Mtn hemlock,Mountain hemlock,Mountain hemlock leading,,,FALSE,Conifer,mountain hemlock,,CedrMplOther,Hm,,,,,,,TSUG_MER,403,,36,39,TSUG_MER,#886C00
,,Tsug_mer,Tsug_Mer_Het,Tsug mert,Tsuga mertensiana x heterophylla,WxMtn hemlock,Western x mountain hemlock,Western x mountain hemlock leading,,,FALSE,Conifer,mountain hemlock,,CedrMplOther,Hxm,,,,,,,,404,,36,40,,#886C00
,,Tsug_spp,Tsug_Spp,Tsug spp,Tsuga spp.,Hemlock,Hemlock,Hemlock leading,,Tsug_Spp,FALSE,Conifer,,,CedrMplOther,H,,,,,,,TSUG_SP,400,,,36,,
,,Ulmu_ame,Ulmu_Ame,Ulmu amer,Ulmus americana,Am elm,American elm,American elm leading,,,TRUE,Deciduous,white elm,,CedrMplOther,,,WE,EL,Ew,ORA,,ULMU_AME,2201,,37,122,,#766C95
,,Ulmu_pum,Ulmu_Rub,Ulmu pumi,Ulmus pumila,Sib elm,Siberian elm,Siberian elm leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,ULMU_PUM,2200,generic elm code,,,,
,,Ulmu_rub,Ulmu_Spp,Ulmu rubr,Ulmus rubra,Slip elm,Slippery elm,Slippery elm leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Er,ORR,,ULMU_RUB,2202,,,123,,
,,Ulmu_spp,Ulmu_Tho,Ulmu spp,Ulmus spp.,Elm,Elm,Elm leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,E,ULMU_SPP,2200,,,121,,
,,,,Ulmu thom,Ulmus thomasii,Rock elm,Rock elm,Rock elm leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,Eu,ORT,,ULMU_THO,2203,,,124,,
,,,Needleleaf_Spp,Soft unkn,,Conif,Coniferous,Coniferous leading,,,FALSE,Conifer,,,CedrMplOther,XC,,,,,,UK,,1100,,,194,,
,,,Broadleaf_Spp,Hard unkn,,Decid,Deciduous,Deciduous leading,,,TRUE,Deciduous,,,CedrMplOther,XH,,,,,,UK,,1500,,,195,,
,,,,Nonc hard,,Decid,Deciduous,Deciduous leading,,,TRUE,Deciduous,,,CedrMplOther,,,,,,,,,,,,195,,
,,,,Hard into,,,,,,,,,,,CedrMplOther,,,,,,,,,,,,,,
,,,,Hard tole,,,,,,,,,,,CedrMplOther,,,,,,,,,,,,,,
,,,,Mois hard,,,,,,,,,,,CedrMplOther,,,,,,,,,,,,,,
,,,,Uncl spp,,,,,,,,,,,CedrMplOther,,,,,,,,,,,,,,
